source,nii.1,nii.2,nii.3,nii.4,nii.5,nii.6,nii.8
nii.1,1.00,0.87,0.35,0.23,0.79,0.80,0.75
nii.2,0.87,1.00,0.22,0.18,0.87,0.89,0.77
nii.3,0.35,0.22,1.00,0.00,0.14,0.20,0.15
nii.4,0.23,0.18,0.00,1.00,0.25,0.07,0.39
nii.5,0.79,0.87,0.14,0.25,1.00,0.78,0.87
nii.6,0.80,0.89,0.20,0.07,0.78,1.00,0.66
nii.8,0.75,0.77,0.15,0.39,0.87,0.66,1.00
