,nii.1,nii.2,nii.3,nii.4,nii.5,nii.6,nii.8
nii.1,1.0,-0.111297525,-0.38148224,0.232789,-0.14801806,-0.07882347,-0.15267825
nii.2,-0.111297525,1.0000002,0.13025339,-0.23482746,-0.34743458,0.22005785,-0.21756129
nii.3,-0.38148224,0.13025339,1.0,-0.39520574,-0.054924883,-0.0797303,0.004966516
nii.4,0.232789,-0.23482746,-0.39520574,0.9999996,0.21095636,-0.1047138,-0.04330574
nii.5,-0.14801806,-0.34743458,-0.054924883,0.21095636,1.0000001,-0.38964564,0.3923896
nii.6,-0.07882347,0.22005785,-0.0797303,-0.1047138,-0.38964564,0.99999976,-0.39986494
nii.8,-0.15267825,-0.21756129,0.004966516,-0.04330574,0.3923896,-0.39986494,1.0000002
