,nii.1,nii.2,nii.3,nii.4,nii.5,nii.6,nii.8
nii.1,1.0,-0.48733887,0.002658572,-0.4349659,-0.29603374,-0.025190858,0.56986713
nii.2,-0.48733887,1.0,0.21428286,0.054097243,0.09093395,0.07235819,-0.63328767
nii.3,0.002658572,0.21428286,1.0000001,-0.42215753,-0.41445443,0.33225915,-0.109560415
nii.4,-0.4349659,0.054097243,-0.42215753,0.99999976,0.4354675,-0.089612335,-0.056655396
nii.5,-0.29603374,0.09093395,-0.41445443,0.4354675,1.0000001,-0.366346,0.06908831
nii.6,-0.025190858,0.07235819,0.33225915,-0.089612335,-0.366346,0.9999999,-0.2545401
nii.8,0.56986713,-0.63328767,-0.109560415,-0.056655396,0.06908831,-0.2545401,0.99999994
