,nii.1,nii.2,nii.3,nii.4,nii.5,nii.6,nii.8
nii.1,1.0000001,-0.4930725,-0.26636598,0.073577106,0.16630518,-0.25294828,0.12066213
nii.2,-0.4930725,0.9999999,0.31927767,-0.10201132,-0.43629456,0.6397613,-0.48315537
nii.3,-0.26636598,0.31927767,0.9999999,-0.4688378,-0.31638616,0.17518891,-0.015755843
nii.4,0.073577106,-0.10201132,-0.4688378,0.99999994,0.1859037,0.02515072,-0.16401093
nii.5,0.16630518,-0.43629456,-0.31638616,0.1859037,0.99999976,-0.5543623,0.51209795
nii.6,-0.25294828,0.6397613,0.17518891,0.02515072,-0.5543623,1.0,-0.5048557
nii.8,0.12066213,-0.48315537,-0.015755843,-0.16401093,0.51209795,-0.5048557,1.0000002
